"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"18","simvar18",7.38105490321843,9.95993971370841e-14,9.79062073857537e-11,7.00711639273173,1.42382342685553e-12,0.22297175852951,1.40388989887955e-09
"19","simvar76",7.34028163711475,1.3449595416661e-13,1.32075026991611e-10,6.41229148029294,8.01197269736166e-11,0.204043978639738,7.7956494345329e-08
"20","simvar37",7.33045165770314,1.44563619036155e-13,1.41816910274468e-10,6.22745592570613,2.6180784322579e-10,0.198162371094622,2.54215415772242e-07
"21","simvar9",7.2419699472991,2.7572785170077e-13,2.70213294666755e-10,6.82141571629757,5.19392430124717e-12,0.217062622151014,5.11082151242722e-09
"22","simvar3",7.13875383979201,5.80207742972596e-13,5.68023380370172e-10,6.52619102459191,3.80057422373211e-11,0.20766834853238,3.71696159081e-08
"23","simvar29",7.10571585619078,7.34665779825482e-13,7.18503132669321e-10,7.18362861130473,4.0374443878762e-13,0.228588511209399,3.98899505522168e-10
"24","simvar11",7.08212085415618,8.69012513161775e-13,8.49025225359054e-10,6.74962252617652,8.49155967863052e-12,0.214778108386074,8.33871160441517e-09
"25","simvar51",6.96255830573705,2.01899275828477e-12,1.97053693208594e-09,6.98285280814138,1.68925854253276e-12,0.222199672863864,1.66391966439477e-09
"26","simvar73",6.88794818759969,3.39350927843199e-12,3.30867154647119e-09,6.44894324841639,6.31098669497682e-11,0.205210265701871,6.15952301429737e-08
"27","simvar64",6.78242818454665,7.0100478146703e-12,6.82778657148887e-09,6.44301908378382,6.55974270308389e-11,0.205021754289771,6.3957491355068e-08
"28","simvar12",6.70428604170904,1.1915758124186e-11,1.1594032654833e-08,6.02681888540966,9.12561820044656e-10,0.191777948288763,8.83359841803227e-07
"29","simvar65",6.6771717386984,1.43049386353454e-11,1.39044003535557e-08,5.5326617669628,1.67926470264365e-08,0.176053493960552,1.61545264394319e-05
"30","simvar85",6.63483371088535,1.90025124548752e-11,1.84514395936838e-08,6.41902761277398,7.66889516607947e-11,0.204258327484656,7.4695038917614e-08
"31","simvar30",6.62575593498445,2.01910168128597e-11,1.9585286308474e-08,6.05697743604832,7.58244295585479e-10,0.192737616245411,7.34738722422329e-07
