"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"19","simvar77",8.80263948259994,1.07317102511926e-18,1.05385394666712e-15,7.69228836790308,9.09254665349516e-15,0.247178120759378,8.89251062711826e-12
"20","simvar86",8.61788382295279,5.27398345258003e-18,5.17377776698101e-15,6.21173698627138,2.89482184004897e-10,0.199603213177074,2.75587039172662e-07
"21","simvar49",8.5808712694611,7.22809080547292e-18,7.08352898936346e-15,7.9624370397121,1.09711904732111e-15,0.255858871899965,1.07737090446933e-12
"22","var855",8.29893377990159,7.65115784362243e-17,7.49048352890635e-14,5.39213345588385,3.68771294782729e-08,0.173266699162043,3.46645017095765e-05
"23","simvar84",8.19083937658312,1.85414765890702e-16,1.81335641041106e-13,6.59927163061004,2.34382580800198e-11,0.212055955525694,2.2477289498739e-08
"24","simvar1",8.18092571774565,2.0098581910496e-16,1.96363145265546e-13,7.73330106962121,6.62475797205777e-15,0.248495991600031,6.48563805464455e-12
"25","simvar37",8.07405196853796,4.76650373330116e-16,4.65210764370194e-13,7.76504387582674,5.17923003002302e-15,0.249515990696561,5.07564542942256e-12
"26","simvar7",7.99730141780794,8.80426407629576e-16,8.58415747438837e-13,7.46693917785835,5.03527800446608e-14,0.23993692195795,4.91946661036336e-11
"27","simvar4",7.99241033250596,9.15367506865658e-16,8.91567951687151e-13,6.54141340170056,3.44220520135155e-11,0.210196783377132,3.29763258289479e-08
"28","simvar8",7.86901516286625,2.42566456051133e-15,2.36017161737753e-12,6.86236940455134,3.92266076410084e-12,0.220510138498103,3.79321295888552e-09
"29","simvar91",7.83817536886047,3.08780466152947e-15,3.00134613100665e-12,7.05499621650043,1.016620718634e-12,0.226699861387863,9.88155338512246e-10
"30","simvar70",7.75572466333273,5.86139094261513e-15,5.69141060527929e-12,6.24740745219784,2.31057180799408e-10,0.200749420692006,2.20197493301836e-07
"31","var877",7.73493047432001,6.8828420270191e-15,6.67635676620853e-12,5.73844511033906,5.14079490397441e-09,0.184394813430677,4.86319197915979e-06
"32","simvar96",7.70475352086318,8.6836960847415e-15,8.41450150611451e-12,7.40222776335365,8.15914218263715e-14,0.237857534776406,7.96332277025386e-11
"33","var886",7.68770998498042,9.89805320936807e-15,9.5813155066683e-12,5.32897030656315,5.21798007432911e-08,0.171237062751702,4.88924732964637e-05
"34","simvar2",7.64966957310588,1.32434835271524e-14,1.28064485707564e-11,7.33000577511358,1.39178327738788e-13,0.235536808553352,1.35698869545318e-10
"35","simvar12",7.63480750639681,1.4833622394588e-14,1.4329279233172e-11,6.99492475094377,1.55478568925894e-12,0.224769570782858,1.50658733289191e-09
"36","simvar40",7.61684706078162,1.70074577054932e-14,1.6412196685801e-11,7.02519278303715,1.25570096999144e-12,0.225742180614172,1.21928564186169e-09
"37","simvar88",7.52134093423511,3.50162997019308e-14,3.37557129126613e-11,6.78221513429689,6.80942604708874e-12,0.217934522381707,6.57790556148772e-09
"38","simvar63",7.45290757068048,5.84422259742895e-14,5.62798636132408e-11,5.37801911656949,3.98643837319173e-08,0.1728131597599,3.74326563242704e-05
"39","simvar44",7.45153892989204,5.90413728484795e-14,5.67978006802373e-11,7.06747592868482,9.30339422031204e-13,0.227100874929975,9.05220257636362e-10
"40","simvar42",7.43281341981962,6.78713681203105e-14,6.52243847636184e-11,7.80087180248273,3.91839760188019e-15,0.250667257934343,3.84394804744447e-12
"41","simvar5",7.33526769197815,1.39541890201321e-13,1.33960214593268e-10,6.7195492853079,1.04361587436322e-11,0.215920865840499,1.00500208701178e-08
"42","simvar13",7.29152523675169,1.92228744879532e-13,1.84347366339471e-10,7.3299492665043,1.3923622651971e-13,0.23553499274885,1.35698869545318e-10
"43","simvar29",7.2448995346608,2.69927332604207e-13,2.5859038463483e-10,6.25930154501766,2.14268383693923e-10,0.201131616388622,2.04412038044003e-07
"44","simvar35",7.19570441505712,3.85339114607418e-13,3.68769532679299e-10,5.40114976351089,3.50836430762526e-08,0.173556422306684,3.30137081347537e-05
"45","simvar48",7.17845293988528,4.36338297449353e-13,4.17139412361581e-10,6.86916801159411,3.74233539300864e-12,0.220728599745555,3.62258066043237e-09
"46","simvar36",7.14796917563305,5.43140486497911e-13,5.18699164605505e-10,6.69087357152788,1.26722856869778e-11,0.214999422350008,1.21780665451856e-08
"47","simvar64",7.13870075089409,5.8042831957407e-13,5.53728616873662e-10,6.08450391815434,6.40564846325851e-10,0.195514802918451,6.07896039163233e-07
